Country,Country Code,2010,2011,2012,2013,2014
Somalia,SOM,12053223,12404725,12763776,13132349,13513125
Senegal,SEN,12916229,13300910,13703513,14120320,14546111
Zambia,ZMB,13850033,14264756,14699937,15153210,15620974
Zimbabwe,ZWE,14086317,14386649,14710826,15054506,15411675
Cambodia,KHM,14308740,14537886,14776866,15022692,15270790
Guatemala,GTM,14630417,14948919,15271056,15596214,15923559
Ecuador,ECU,14934690,15177355,15419666,15661547,15903112
Mali,MLI,15075085,15540989,16006670,16477818,16962846
Malawi,MWI,15167095,15627618,16097305,16577147,17068838
Burkina Faso,BFA,15605217,16081904,16571216,17072723,17585977
Kazakhstan,KAZ,16321581,16556600,16791425,17035275,17289224
Niger,NER,16425578,17064636,17731634,18426372,19148219
Netherlands,NLD,16615394,16693074,16754962,16804432,16865008
Chile,CHL,16993354,17153357,17309746,17462982,17613798
Cameroon,CMR,19970495,20520447,21082383,21655715,22239904
Sri Lanka,LKA,20198353,20315017,20425000,20585000,20771000
Romania,ROU,20246871,20147528,20058035,19983693,19908979
Cote d'Ivoire,CIV,20401331,20895311,21418603,21966312,22531350
Syrian Arab Republic,SYR,21018834,20863993,20420701,19809141,19203090
Madagascar,MDG,21151640,21743949,22346573,22961146,23589801
Australia,AUS,22031750,22340024,22742475,23145901,23504138
Angola,AGO,23369131,24218565,25096150,25998340,26920466
"Yemen, Rep.",YEM,23606779,24252206,24909969,25576322,26246327
Mozambique,MOZ,24221405,24939005,25676606,26434372,27212382
Ghana,GHA,24512104,25121796,25733049,26346251,26962563
"Korea, Dem. People’s Rep.",PRK,24591599,24722298,24854034,24985976,25116363
Other small states,OSS,26267053,26900149,27529022,28150486,28766825
Nepal,NPL,27023137,27327147,27649925,27985310,28323241
Saudi Arabia,SAU,27425676,28238020,29086357,29944476,30776722
Malaysia,MYS,28112289,28635128,29170456,29706724,30228017
Uzbekistan,UZB,28562400,29339400,29774500,30243200,30757700
Afghanistan,AFG,28803167,29708599,30696958,31731688,32758020
"Venezuela, RB",VEN,29028033,29463291,29893080,30317848,30738378
Peru,PER,29373646,29759989,30158966,30565716,30973354
Iraq,IRQ,30762701,31727053,32776571,33883145,35006080
Morocco,MAR,32409639,32858823,33333789,33824769,34318082
Uganda,UGA,33915133,35093648,36306796,37553726,38833338
Canada,CAN,34005274,34342780,34750545,35152370,35535348
Sudan,SDN,34385963,35167314,35990192,36849918,37737913
Small states,SST,35465245,36171934,36874449,37569419,38258962
Algeria,DZA,36117637,36819558,37565847,38338562,39113313
Poland,POL,38042794,38063255,38063164,38040196,38011735
Argentina,ARG,41223889,41656879,42096739,42539925,42981515
Kenya,KEN,41350152,42486839,43646629,44826849,46024250
Ukraine,UKR,45870700,45706100,45593300,45489600,45271947
Colombia,COL,45918097,46406646,46881475,47342981,47791911
Tanzania,TZA,46098591,47570902,49082997,50636595,52234869
Spain,ESP,46576897,46742697,46773055,46620045,46480882
"Korea, Rep.",KOR,49554112,49936638,50199853,50428893,50746659
Myanmar,MMR,50155896,50553031,50986514,51448196,51924182
South Africa,ZAF,51584663,52263516,52998213,53767396,54539571
Italy,ITA,59277417,59379449,59539717,60233948,60789140
United Kingdom,GBR,62766365,63258918,63700300,64128226,64613160
"Congo, Dem. Rep.",COD,64523263,66713597,68978682,71316033,73722860
France,FRA,65027507,65342775,65659789,65998573,66331958.5
Thailand,THA,67208808,67530130,67843979,68143065,68416772
Turkey,TUR,72326914,73409455,74569867,75787333,77030628
"Iran, Islamic Rep.",IRN,74567511,75491582,76453574,77435384,78411092
Germany,DEU,81776930,80274983,80425823,80645605,80982500
"Egypt, Arab Rep.",EGY,84107606,85897561,87813257,89807433,91812566
Ethiopia,ETH,87702670,90046756,92444183,94887724,97366774
Vietnam,VNM,88472512,89436644,90451881,91497725,92544915
Philippines,PHL,93726624,95277940,96866642,98481032,100102249
Central Europe and the Baltics,CEB,104543801,104174038,103935318,103713726,103496179
Mexico,MEX,117318941,119090017,120828307,122535969,124221600
Japan,JPN,128070000,127833000,127629000,127445000,127276000
Russian Federation,RUS,142849449,142960868,143201676,143506911,143819666
Bangladesh,BGD,152149102,153911916,155727053,157571292,159405279
Nigeria,NGA,158578261,162877076,167297284,171829303,176460502
Pakistan,PAK,170560182,174184265,177911533,181712595,185546257
Brazil,BRA,196796269,198686688,200560983,202408632,204213133
Indonesia,IDN,242524123,245707511,248883232,252032263,255131116
,,19123569.59,19387769.7,19733574.9,20017309.67,20303257.26
United States,USA,309348193,311663358,313998379,316204908,318563456
Middle East & North Africa (IDA & IBRD countries),TMN,331770455,337894992,344148796,350471538,356783315
Middle East & North Africa (excluding high income),MNA,335581557,341822043,348195697,354641044,361077997
Euro area,EMU,336151474,335425830,336167295,337296876,338429647.5
North America,NAC,343418591,346070702,348813722,351422279,354163943
Arab World,ARB,356508908,364895878,373306993,381702086,390043028
Middle East & North Africa,MEA,388376106,396573248,404782447,412950407,421022841
Europe & Central Asia (excluding high income),ECA,403470694,405521953,407706585,410126644,412510951
Fragile and conflict affected situations,FCS,438737943,449398455,460228236,471253115,482474449
Europe & Central Asia (IDA & IBRD countries),TEC,441513488,443585208,445769749,448166840,450522686
IDA blend,IDB,452947421,463997812,474993526,486261860,497751634
European Union,EUU,504421126,504012081,505104333,506592460,508157248.5
Low income,LIC,560007444,575572515,591576162,607987351,624759914
Latin America & Caribbean (excluding high income),LAC,569737872,576648286,583515410,590319145,597035363
Latin America & the Caribbean (IDA & IBRD countries),TLA,580246796,587315129,594330743,601277206,608136047
Latin America & Caribbean,LCN,596479937,603537118,610547919,617495658,624335544
Heavily indebted poor countries (HIPC),HPC,630127436,648053253,666488623,685401960,704745420
Pre-demographic dividend,PRE,739082260,760942116,783505835,806705375,830442736
Least developed countries: UN classification,LDC,848791962,869298106,890423474,912093996,934192321
Sub-Saharan Africa (excluding high income),SSA,877538597,901902485,926951572,952644123,978926559
Sub-Saharan Africa,SSF,877628367,901989926,927039875,952734072,979017918
Sub-Saharan Africa (IDA & IBRD countries),TSS,877628367,901989926,927039875,952734072,979017918
Europe & Central Asia,ECS,889016216,891094963,894666668,898855116,903094669.5
IDA only,IDX,920600670,941682570,963122738,984966093,1007225927
Post-demographic dividend,PST,1075140980,1078083258,1082731938,1087577484,1092623699
High income,HIC,1149513780,1155001498,1161912763,1168863948,1175992265
India,IND,1230980691,1247236029,1263065852,1278562207,1293859294
OECD members,OED,1242391518,1248769314,1256613484,1264720693,1273144197
China,CHN,1337705000,1344130000,1350695000,1357380000,1364270000
IDA total,IDA,1373548091,1405680382,1438116264,1471227953,1504977561
South Asia,SAS,1630806784,1653798614,1676615491,1699310450,1721847786
South Asia (IDA & IBRD),TSA,1630806784,1653798614,1676615491,1699310450,1721847786
East Asia & Pacific (IDA & IBRD countries),TEA,1941604842,1955546907,1969762859,1984152637,1998686391
East Asia & Pacific (excluding high income),EAP,1966231608,1980303926,1994651365,2009173000,2023837097
Late-demographic dividend,LTE,2182871599,2196126123,2209695204,2223430941,2237202264
East Asia & Pacific,EAS,2207154891,2221934234,2237082761,2252310372,2267745316
Upper middle income,UMC,2465137558,2483420924,2502482706,2521914824,2541465508
Lower middle income,LMC,2758222110,2801003868,2843577252,2886312231,2929010331
Early-demographic dividend,EAR,2909410986,2953406021,2997066325,3040700765,3084236443
IBRD only,IBD,4430022641,4474450394,4519551249,4564884790,4610016582
Middle income,MIC,5223359668,5284424792,5346059958,5408227055,5470475839
Low & middle income,LMY,5783367112,5859997307,5937636120,6016214406,6095235753
IDA & IBRD total,IBT,5803570732,5880130776,5957667513,6036112743,6114994143
World,WLD,6932880892,7014998805,7099548883,7185078354,7271228018
Not classified,INX,,,,,
