,Country,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y,Country Code_x,2010_x,2011_x,2012_x,2013_x,2014_x,Country Code_y,2010_y,2011_y,2012_y,2013_y,2014_y
60,poland,POL,1.41,1.33,1.33,1.29,1.32,343,215,56,10.9,POL,76.24634146,76.69512195,76.74634146,77.0,77.60243902,POL,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,POL,23.39999962,25.5,26.39999962,27.20000076,24.0
61,portugal,PRT,1.39,1.35,1.28,1.21,1.23,194,67,339,11.0,PRT,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,PRT,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,PRT,22.29999924,30.0,37.59999847,37.79999924,36.79999924
62,paraguay,PRY,2.73,2.675,2.625,2.5810000000000004,2.542,213,117,74,7.3,PRY,72.285,72.47,72.638,72.786,72.913,PRY,6209877.0,6293783.0,6379219.0,6465740.0,6552584.0,PRY,11.89999962,10.19999981,10.39999962,10.5,9.300000191
63,qatar,QAT,2.07,2.0269999999999997,1.9969999999999999,1.972,1.95,1,42,7,0.9,QAT,77.301,77.443,77.59,77.73899999999999,77.888,QAT,1779676.0,1952054.0,2109568.0,2250473.0,2374419.0,QAT,1.5,1.7000000480000002,1.600000024,1.200000048,1.299999952
64,romania,ROU,1.59,1.47,1.52,1.46,1.52,297,122,167,10.4,ROU,73.45853659,74.4097561,74.41219512,75.06341463,74.96097561,ROU,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,ROU,22.29999924,23.89999962,22.79999924,23.79999924,25.10000038
65,russian federation,RUS,1.567,1.5819999999999999,1.6909999999999998,1.7069999999999999,1.75,247,326,73,11.5,RUS,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,RUS,142849449.0,142960868.0,143201676.0,143506911.0,143819666.0,RUS,16.79999924,15.30000019,15.0,14.10000038,12.89999962
66,singapore,SGP,1.15,1.2,1.29,1.19,1.25,60,12,11,1.5,SGP,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,SGP,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,SGP,9.899999618999999,9.199999809,9.0,9.0,9.600000382000001
67,el salvador,SLV,2.265,2.224,2.187,2.155,2.126,52,69,2,2.2,SLV,71.902,72.195,72.479,72.753,73.015,SLV,6164626.0,6192560.0,6221246.0,6250777.0,6281189.0,SLV,13.0,12.0,11.89999962,11.19999981,11.69999981
68,serbia,SRB,1.4,1.4,1.45,1.43,1.46,283,131,127,9.6,SRB,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,SRB,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,SRB,45.5,50.40000153,50.59999847,49.70000076,49.5
69,suriname,SUR,2.52,2.495,2.47,2.445,2.421,128,178,7,5.6,SUR,70.335,70.578,70.79,70.976,71.138,SUR,526103.0,531589.0,537077.0,542540.0,547928.0,SUR,20.70000076,19.0,17.39999962,15.5,17.89999962
70,slovenia,SVN,1.57,1.56,1.58,1.55,1.58,270,51,276,10.6,SVN,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,SVN,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,SVN,14.60000038,15.80000019,20.60000038,22.79999924,20.79999924
71,sweden,SWE,1.98,1.9,1.91,1.89,1.88,152,60,186,7.2,SWE,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,SWE,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,SWE,25.20000076,23.20000076,24.20000076,23.79999924,22.79999924
72,thailand,THA,1.547,1.5419999999999998,1.534,1.524,1.5119999999999998,99,258,1,6.4,THA,73.923,74.197,74.446,74.678,74.895,THA,67208808.0,67530130.0,67843979.0,68143065.0,68416772.0,THA,4.0,2.900000095,3.099999905,3.200000048,3.900000095
73,turkmenistan,TKM,2.833,2.892,2.9360000000000004,2.958,2.9560000000000004,19,71,32,2.2,TKM,66.657,66.928,67.167,67.375,67.55199999999999,TKM,5087210.0,5174061.0,5267839.0,5366277.0,5466241.0,TKM,20.60000038,21.0,20.70000076,20.60000038,20.20000076
74,turkey,TUR,2.155,2.1390000000000002,2.124,2.108,2.09,51,22,7,1.4,TUR,74.154,74.437,74.711,74.977,75.23899999999999,TUR,72326914.0,73409455.0,74569867.0,75787333.0,77030628.0,TUR,21.20000076,17.89999962,17.10000038,16.5,17.70000076
75,ukraine,UKR,1.443,1.459,1.531,1.506,1.4980000000000002,206,237,45,8.9,UKR,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,UKR,45870700.0,45706100.0,45593300.0,45489600.0,45271947.0,UKR,17.39999962,19.0,17.29999924,16.0,16.89999962
76,uruguay,URY,2.0780000000000003,2.063,2.048,2.033,2.019,115,35,220,6.6,URY,76.58800000000001,76.73899999999999,76.89,77.04,77.19,URY,3374415.0,3385624.0,3396777.0,3408005.0,3419546.0,URY,20.79999924,17.89999962,18.5,18.10000038,19.10000038
77,uzbekistan,UZB,2.342,2.2359999999999998,2.193,2.35,2.457,25,101,8,2.4,UZB,70.005,70.322,70.604,70.844,71.039,UZB,28562400.0,29339400.0,29774500.0,30243200.0,30757700.0,UZB,20.60000038,20.60000038,20.60000038,20.5,20.29999924
78,south africa,ZAF,2.588,2.572,2.5540000000000003,2.533,2.51,225,76,81,8.2,ZAF,55.888000000000005,57.201,58.545,59.83,60.993,ZAF,51584663.0,52263516.0,52998213.0,53767396.0,54539571.0,ZAF,50.79999924,50.09999847,52.20000076,51.40000153,52.59999847
