,Country,2010_x,2011_x,2012_x,2013_x,2014_x,Grand Total,Country Code_x,2010_y,2011_y,2012_y,2013_y,2014_y,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Country Code_y,2010_x,2011_x,2012_x,2013_x,2014_x,Country Code_x,2010_y,2011_y,2012_y,2013_y,2014_y,Country Code_y,2010,2011,2012,2013,2014
43,lithuania,395.24,407.69,374.12,444.56,401.27,2770.08,LTU,1.5,1.55,1.6,1.59,1.63,343,244,56,12.9,LTU,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,LTU,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,LTU,35.20000076,32.0,26.20000076,21.89999962,21.5
44,luxembourg,141.16,136.53,140.18,91.48,147.88,791.63,LUX,1.63,1.52,1.57,1.55,1.5,236,133,271,11.4,LUX,80.63170732,80.98780488,81.39268293,81.8,82.22926829,LUX,506953.0,518347.0,530946.0,543360.0,556319.0,LUX,14.5,16.79999924,18.5,19.20000076,16.0
45,maldives,1.99,5.39,,,,7.38,MDV,2.229,2.221,2.209,2.191,2.165,0,0,0,0.0,MDV,76.112,76.259,76.40100000000001,76.571,76.783,MDV,364511.0,375131.0,386203.0,397397.0,408247.0,MDV,25.39999962,25.5,26.60000038,26.0,26.89999962
46,malta,82.11,47.5,59.87,57.22,102.08,427.05,MLT,1.36,1.45,1.43,1.38,1.42,149,100,120,6.6,MLT,81.39756098,80.74634146,80.74634146,81.74634146,81.94634146,MLT,414508.0,416268.0,419455.0,423374.0,427364.0,MLT,13.19999981,14.0,14.30000019,14.10000038,13.60000038
47,mauritius,111.83,120.04,114.25,97.67,115.45,758.51,MUS,1.57,1.55,1.54,1.44,1.43,98,31,18,2.6,MUS,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,MUS,1250400.0,1252404.0,1255882.0,1258653.0,1260934.0,MUS,23.10000038,21.70000076,23.70000076,21.89999962,21.20000076
48,mexico,61.01,65.52,63.43,64.99,68.38,389.9,MEX,2.3409999999999997,2.318,2.295,2.27,2.2430000000000003,238,68,5,5.5,MEX,76.096,76.251,76.41199999999999,76.579,76.753,MEX,117318941.0,119090017.0,120828307.0,122535969.0,124221600.0,MEX,9.399999618999999,10.0,9.5,9.399999618999999,9.899999618999999
49,mongolia,,,,,,184.39,MNG,2.637,2.716,2.7739999999999996,2.805,2.8110000000000004,77,189,8,4.9,MNG,67.383,67.82,68.215,68.558,68.847,MNG,2712650.0,2761516.0,2814226.0,2869107.0,2923896.0,MNG,14.10000038,9.0,9.600000382000001,9.600000382000001,9.300000191
50,netherlands,109.49,113.08,118.51,125.53,121.42,842.35,NLD,1.79,1.76,1.72,1.68,1.71,251,88,190,9.4,NLD,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,NLD,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,NLD,8.800000191,7.5,9.5,11.0,11.10000038
51,new zealand,152.62,142.82,158.03,144.55,,598.02,NZL,2.17,2.09,2.1,2.01,1.92,203,79,175,9.3,NZL,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,NZL,4350700.0,4384000.0,4408100.0,4442100.0,4509700.0,NZL,17.0,17.20000076,17.70000076,15.80000019,14.60000038
52,nicaragua,88.74,89.55,72.29,80.97,71.4,472.82,NIC,2.428,2.383,2.34,2.3,2.2640000000000002,78,118,1,3.5,NIC,73.699,74.016,74.319,74.608,74.884,NIC,5737723.0,5807820.0,5877108.0,5945747.0,6013997.0,NIC,12.30000019,11.60000038,10.60000038,7.6999998089999995,7.599999905
53,norway,136.43,146.49,126.0,127.01,127.23,799.59,NOR,1.95,1.88,1.85,1.78,1.75,169,71,129,6.7,NOR,80.99756098,81.29512195,81.45121951,81.75121951,82.1,NOR,4889252.0,4953088.0,5018573.0,5079623.0,5137232.0,NOR,9.199999809,8.699999809,8.600000382000001,9.100000382000001,8.399999618999999
54,oman,3.8,,,,1.51,5.31,OMN,2.9010000000000002,2.8960000000000004,2.878,2.846,2.799,22,16,1,0.7,OMN,75.694,75.922,76.141,76.358,76.578,OMN,3041460.0,3237268.0,3464644.0,3711481.0,3960925.0,OMN,19.29999924,19.0,18.79999924,18.60000038,18.79999924
55,panama,64.0,62.73,55.52,49.31,55.98,332.44,PAN,2.622,2.613,2.6010000000000004,2.585,2.565,285,104,18,7.2,PAN,76.828,77.021,77.21600000000001,77.413,77.61,PAN,3643222.0,3707782.0,3772938.0,3838462.0,3903986.0,PAN,14.89999962,11.89999962,10.0,10.10000038,11.0
56,paraguay,54.56,67.83,63.3,75.39,72.15,333.23,PRY,2.73,2.675,2.625,2.5810000000000004,2.542,213,117,74,7.3,PRY,72.285,72.47,72.638,72.786,72.913,PRY,6209877.0,6293783.0,6379219.0,6465740.0,6552584.0,PRY,11.89999962,10.19999981,10.39999962,10.5,9.300000191
57,philippines,36.96,44.91,,,,81.87,PHL,3.158,3.109,3.0669999999999997,3.028,2.992,71,186,1,4.6,PHL,68.32,68.433,68.553,68.68,68.813,PHL,93726624.0,95277940.0,96866642.0,98481032.0,100102249.0,PHL,16.79999924,16.10000038,16.39999962,16.60000038,16.39999962
58,poland,190.64,183.86,192.37,187.59,178.3,1099.75,POL,1.41,1.33,1.33,1.29,1.32,343,215,56,10.9,POL,76.24634146,76.69512195,76.74634146,77.0,77.60243902,POL,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,POL,23.39999962,25.5,26.39999962,27.20000076,24.0
59,portugal,148.84,127.86,139.4,132.73,153.89,702.72,PRT,1.39,1.35,1.28,1.21,1.23,194,67,339,11.0,PRT,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,PRT,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,PRT,22.29999924,30.0,37.59999847,37.79999924,36.79999924
60,qatar,12.83,18.85,13.27,8.23,18.99,107.44,QAT,2.07,2.0269999999999997,1.9969999999999999,1.972,1.95,1,42,7,0.9,QAT,77.301,77.443,77.59,77.73899999999999,77.888,QAT,1779676.0,1952054.0,2109568.0,2250473.0,2374419.0,QAT,1.5,1.7000000480000002,1.600000024,1.200000048,1.299999952
61,romania,150.04,138.78,142.03,137.99,131.03,949.75,ROU,1.59,1.47,1.52,1.46,1.52,297,122,167,10.4,ROU,73.45853659,74.4097561,74.41219512,75.06341463,74.96097561,ROU,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,ROU,22.29999924,23.89999962,22.79999924,23.79999924,25.10000038
